X,Sample.ID,Download.Source,TLD,Download.Speed,Ping.Time.To.Server,File.Size.Bytes,How.Many.Times.File.Seen,Executable.Code.Maybe.Present.in.Headers,Calls.To.Low.level.System.Libraries,Evidence.of.Code.Obfuscation,Threads.Started,Mean.Word.Length.of.Extracted.Strings,Similarity.Score,Actually.Malicious,Initial.Statistical.Analysis
89,285,Well Known Software Download Websites,.com,1MB/s to 10MB/s,39,3989127,528,YES,334,YES,1,4.78,-0.69259559,NO,Correctly Identified as Clean
95,299,Well Known Software Download Websites,.net,100KB/s to 1MB/s,161,17223513,486,NO,2149,YES,1,6.03,-0.863725671,YES,Incorrectly Identified as Clean
106,341,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,364,2832626,488,YES,229,NO,1,5.41,0.896640611,NO,Correctly Identified as Clean
118,385,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,202,2878143,511,YES,233,YES,1,5.28,0.176128109,NO,Correctly Identified as Clean
119,389,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,708,21370820,601,NO,3021,YES,1,4.99,0.438759891,YES,Correctly Identified as Malware
125,404,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,43,4254357,550,NO,359,NO,1,5.04,-0.240637039,NO,Correctly Identified as Clean
131,427,Well Known Software Download Websites,.net,1MB/s to 10MB/s,287,1931019,321,YES,152,YES,1,4.33,-0.330596067,YES,Correctly Identified as Malware
134,434,University Web Pages,.net,100KB/s to 1MB/s,93,13798697,767,NO,1553,YES,1,3.87,0.016332575,NO,Correctly Identified as Clean
138,443,Well Known Software Download Websites,.com,100KB/s to 1MB/s,333,19367407,743,NO,2578,YES,1,3.93,0.876099215,NO,Correctly Identified as Clean
140,457,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,464,598267,726,YES,45,NO,1,5.24,0.191659955,NO,Correctly Identified as Clean
145,472,Git Repository,.gov,100KB/s to 1MB/s,274,1030843,595,NO,79,YES,1,4.53,-0.489589138,NO,Correctly Identified as Clean
150,499,University Web Pages,.com,100KB/s to 1MB/s,438,3094809,625,NO,252,YES,1,4.64,-1.335522445,NO,Correctly Identified as Clean
153,516,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,733,4015977,617,YES,337,YES,1,4.61,-0.419681524,YES,Correctly Identified as Malware
155,525,Well Known Software Download Websites,.gov,Greater than 10MB/s,336,29636055,773,NO,5370,YES,1,4.18,1.036415288,NO,Correctly Identified as Clean
157,535,Well Known Software Download Websites,.net,100KB/s to 1MB/s,506,9283647,597,NO,912,YES,1,4.9,-1.445609649,YES,Correctly Identified as Malware
158,538,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,392,71417,505,YES,5,NO,1,4.76,-0.868306502,YES,Correctly Identified as Malware
165,561,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,326,13510268,645,NO,1508,YES,1,4.81,0.384852321,NO,Correctly Identified as Clean
166,562,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,92,19066024,357,NO,2515,YES,1,5.15,0.431351653,YES,Incorrectly Identified as Clean
172,582,Linked Directly to Google Search Result,.edu,1MB/s to 10MB/s,70,8004755,556,NO,757,NO,1,5.11,-0.377761398,NO,Correctly Identified as Clean
175,588,Well Known Software Download Websites,.com,100KB/s to 1MB/s,107,12640669,675,NO,1374,YES,1,4.73,0.235956769,NO,Correctly Identified as Clean
180,609,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,268,1477619,636,NO,114,YES,1,5.63,-0.527294931,YES,Correctly Identified as Malware
181,619,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,232,8753053,559,NO,847,NO,1,5.1,-1.052056521,NO,Correctly Identified as Clean
184,633,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,199,16495698,682,YES,2014,NO,1,5.01,0.436282076,YES,Correctly Identified as Malware
185,637,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,289,19653285,700,NO,2638,NO,1,4.93,-0.262449662,NO,Correctly Identified as Clean
186,638,Git Repository,.com,100KB/s to 1MB/s,470,15827450,747,NO,1894,YES,1,4.32,0.47487898,NO,Correctly Identified as Clean
190,648,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,393,853266,670,NO,65,YES,1,4.77,0.694178815,NO,Correctly Identified as Clean
191,649,Linked Directly to Google Search Result,.edu,1MB/s to 10MB/s,208,20399502,694,NO,2801,NO,1,4.84,-0.071422693,NO,Incorrectly Identified as Malware
192,656,Well Known Software Download Websites,.net,1MB/s to 10MB/s,126,891331,723,YES,68,YES,1,4.42,-0.883983079,NO,Correctly Identified as Clean
198,688,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,192,2094416,603,NO,165,YES,1,5.41,0.347817577,YES,Correctly Identified as Malware
201,706,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,380,11565515,591,NO,1217,NO,1,4.88,-1.708111112,NO,Correctly Identified as Clean
202,708,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,35,9129472,675,NO,893,NO,1,5.52,-1.167695869,YES,Correctly Identified as Malware
205,713,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,393,18411423,555,YES,2381,NO,1,4.94,-0.33922923,NO,Correctly Identified as Clean
208,720,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,29,4474928,645,NO,380,NO,1,4.97,-0.405508226,NO,Correctly Identified as Clean
209,721,Well Known Software Download Websites,.com,100KB/s to 1MB/s,88,5648941,548,NO,497,NO,1,4.89,0.423795973,NO,Correctly Identified as Clean
213,751,Well Known Software Download Websites,.com,100KB/s to 1MB/s,80,4730770,554,YES,405,NO,1,4.86,-0.349961216,YES,Correctly Identified as Malware
215,754,Well Known Software Download Websites,.org,100KB/s to 1MB/s,540,13493538,689,NO,1505,NO,1,5.18,2.264172686,NO,Correctly Identified as Clean
216,758,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,203,3238682,451,NO,265,NO,1,5.25,1.908276324,NO,Correctly Identified as Clean
221,778,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,43,5249958,580,NO,457,NO,1,4.53,1.378915212,NO,Correctly Identified as Clean
228,799,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,191,6596413,536,NO,598,YES,1,4.59,0.749108944,YES,Correctly Identified as Malware
231,806,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,508,6346600,658,YES,571,NO,1,5.4,0.869186826,YES,Correctly Identified as Malware
233,814,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,180,9228057,594,YES,905,YES,1,4.5,-0.275295696,NO,Correctly Identified as Clean
234,815,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,174,4405884,460,YES,374,YES,1,4.71,-0.056160714,YES,Incorrectly Identified as Clean
237,823,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,542,2357264,698,YES,188,NO,1,4.57,0.759031015,YES,Correctly Identified as Malware
242,832,Exposed Corporate Intranet Pages,.com,100KB/s to 1MB/s,167,2665103,610,NO,214,NO,1,5.32,-0.114834534,NO,Incorrectly Identified as Malware
245,840,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,669,7978828,604,NO,754,YES,1,4.67,-0.040769038,YES,Incorrectly Identified as Clean
246,847,Git Repository,.com,100KB/s to 1MB/s,532,6379429,554,NO,574,NO,1,5.31,0.642057456,NO,Correctly Identified as Clean
247,852,Well Known Software Download Websites,.com,100KB/s to 1MB/s,320,13032266,573,YES,1434,YES,1,4.4,0.608534066,NO,Correctly Identified as Clean
256,890,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,571,3462776,650,NO,285,NO,1,5.77,0.597499934,YES,Correctly Identified as Malware
257,891,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,207,12156582,521,YES,1303,YES,1,5.58,0.42003032,NO,Correctly Identified as Clean
258,892,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,190,794763,625,YES,60,YES,1,4.76,-1.184282214,NO,Correctly Identified as Clean
264,926,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,124,14013055,530,NO,1588,YES,1,4.97,1.347047065,YES,Incorrectly Identified as Clean
265,928,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,339,18281386,637,YES,2355,NO,1,5.38,1.049827705,NO,Incorrectly Identified as Malware
268,947,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,470,7752246,422,YES,727,YES,1,5.58,1.020595105,YES,Correctly Identified as Malware
269,948,Git Repository,.gov,100KB/s to 1MB/s,159,3601514,579,YES,298,YES,1,4.51,-1.23726256,NO,Correctly Identified as Clean
274,983,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,299,9244742,657,NO,907,NO,1,5.07,-0.415905771,NO,Correctly Identified as Clean
280,1003,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,71,4064159,593,YES,341,YES,1,5.41,1.078544493,YES,Correctly Identified as Malware
282,1009,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,587,6448289,597,NO,582,YES,1,4.52,-0.57740883,NO,Correctly Identified as Clean
285,1017,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,527,6341738,566,YES,570,YES,1,4.55,1.247833725,NO,Incorrectly Identified as Malware
291,1039,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,124,15907136,492,NO,1908,NO,1,4.48,0.792063624,NO,Correctly Identified as Clean
293,1043,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,673,4565953,544,NO,389,NO,1,4.88,-1.952319329,YES,Incorrectly Identified as Clean
295,1051,Well Known Software Download Websites,.com,100KB/s to 1MB/s,378,1354609,591,NO,104,YES,1,5.21,1.382303808,YES,Correctly Identified as Malware
296,1058,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,177,14702713,560,NO,1701,NO,1,5.69,-0.29419315,NO,Correctly Identified as Clean
297,1060,Git Repository,.com,100KB/s to 1MB/s,282,12581600,632,YES,1365,YES,1,4.52,0.406071912,NO,Correctly Identified as Clean
299,1064,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,515,14724578,587,YES,1704,NO,1,5.34,0.775716952,NO,Correctly Identified as Clean
300,1065,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,342,9907695,499,YES,992,YES,1,5.47,-1.175299761,NO,Correctly Identified as Clean
301,1066,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,285,18366547,561,NO,2372,NO,1,4.12,0.465961731,YES,Incorrectly Identified as Clean
302,1069,Well Known Software Download Websites,.com,100KB/s to 1MB/s,102,244655,586,NO,18,YES,1,5.58,-0.074859424,YES,Correctly Identified as Malware
303,1077,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,156,235542,478,NO,17,YES,1,5.17,0.629595268,NO,Correctly Identified as Clean
308,1106,Well Known Software Download Websites,.com,100KB/s to 1MB/s,123,6134954,623,YES,548,NO,1,5.47,-1.695706021,NO,Correctly Identified as Clean
309,1114,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,218,6167287,580,YES,552,YES,1,5.28,-2.051921271,YES,Correctly Identified as Malware
315,1144,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,742,5204131,532,YES,452,YES,1,5.45,0.858492885,NO,Correctly Identified as Clean
319,1159,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,374,22807899,535,NO,3366,NO,1,4.89,-1.257741223,NO,Correctly Identified as Clean
322,1169,Well Known Software Download Websites,.net,100KB/s to 1MB/s,305,6023991,640,NO,537,NO,1,5.09,-0.488365699,NO,Correctly Identified as Clean
323,1170,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,669,6916548,443,NO,633,YES,1,4.81,-0.788990406,YES,Correctly Identified as Malware
340,1220,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,597,13273289,507,YES,1471,NO,1,5.32,-1.131750058,NO,Incorrectly Identified as Malware
341,1225,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,683,3583516,584,NO,296,NO,1,5.43,0.257751148,NO,Correctly Identified as Clean
342,1226,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,370,15277123,629,YES,1798,YES,1,4.16,0.737473079,NO,Correctly Identified as Clean
345,1246,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,494,8508582,715,NO,817,NO,1,4.46,0.577877848,YES,Incorrectly Identified as Clean
346,1249,Well Known Software Download Websites,.com,100KB/s to 1MB/s,234,14569720,647,NO,1679,YES,1,4.41,0.178681934,NO,Correctly Identified as Clean
351,1266,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,41,6202481,554,YES,555,NO,1,5.34,-0.334671073,NO,Correctly Identified as Clean
352,1270,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,383,3257786,546,NO,267,YES,1,5.48,-0.544522258,NO,Correctly Identified as Clean
357,1282,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,170,7012188,527,NO,643,NO,1,5.09,1.331193735,NO,Correctly Identified as Clean
361,1303,Well Known Software Download Websites,.com,100KB/s to 1MB/s,190,18984516,714,YES,2498,YES,1,3.66,1.237294645,NO,Correctly Identified as Clean
366,1317,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,32,6632908,540,YES,602,NO,1,4.39,1.039700527,YES,Correctly Identified as Malware
367,1320,Well Known Software Download Websites,.net,100KB/s to 1MB/s,436,1217447,577,NO,93,YES,1,5.75,1.415300915,YES,Incorrectly Identified as Clean
375,1335,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,163,25821769,509,NO,4172,NO,1,4.82,-0.688377607,NO,Correctly Identified as Clean
377,1339,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,395,8638335,471,NO,833,NO,1,5.24,-0.144413407,NO,Correctly Identified as Clean
378,1340,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,83,7812491,580,YES,734,YES,1,4.29,1.409922996,NO,Incorrectly Identified as Malware
382,1359,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,44,3585474,564,YES,297,YES,1,5.24,-0.842360112,YES,Incorrectly Identified as Clean
385,1374,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,280,33083777,637,NO,6649,YES,1,4.74,-0.401317086,NO,Correctly Identified as Clean
389,1390,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,53,6039873,521,YES,538,YES,1,5.3,0.496249611,YES,Correctly Identified as Malware
397,1426,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,190,9088586,458,YES,888,YES,1,5.9,1.160328425,YES,Correctly Identified as Malware
401,1436,Well Known Software Download Websites,.net,100KB/s to 1MB/s,305,2488695,618,NO,199,YES,1,5.37,0.112712679,YES,Incorrectly Identified as Clean
402,1437,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,149,5756091,603,YES,509,NO,1,5.33,0.518266634,NO,Correctly Identified as Clean
403,1438,University Web Pages,.com,100KB/s to 1MB/s,338,6863524,548,NO,627,YES,1,5.42,1.504228429,NO,Correctly Identified as Clean
410,1453,Linked Directly to Google Search Result,.com,Greater than 10MB/s,76,2199335,446,NO,174,NO,1,5.75,-1.752114521,NO,Correctly Identified as Clean
415,1467,Well Known Software Download Websites,.com,100KB/s to 1MB/s,483,1171780,651,NO,90,YES,1,5.47,-1.09447974,YES,Incorrectly Identified as Clean
418,1476,Well Known Software Download Websites,.com,100KB/s to 1MB/s,62,6450250,635,YES,582,YES,1,4.83,-0.827076914,YES,Correctly Identified as Malware
420,1482,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,452,5678746,655,YES,501,YES,1,4.02,0.150858255,NO,Correctly Identified as Clean
430,1536,Well Known Software Download Websites,.net,100KB/s to 1MB/s,314,5871849,621,YES,521,YES,1,5.04,-0.462753622,NO,Correctly Identified as Clean
432,1548,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,545,4318852,611,NO,365,YES,1,4.5,-0.138243424,NO,Correctly Identified as Clean
435,1553,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,273,16682599,498,NO,2048,NO,1,5.01,-0.63443486,NO,Incorrectly Identified as Malware
436,1557,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,819,5714453,564,YES,504,NO,1,5.01,-0.025601334,NO,Correctly Identified as Clean
438,1566,Well Known Software Download Websites,.com,100KB/s to 1MB/s,151,2681135,512,NO,216,YES,1,5.2,-1.602404857,YES,Correctly Identified as Malware
443,1577,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,175,6548581,470,YES,593,YES,1,4.69,-1.117758049,NO,Correctly Identified as Clean
452,1611,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,218,7185587,672,NO,663,YES,1,5.9,0.602648414,YES,Correctly Identified as Malware
455,1616,Well Known Software Download Websites,.net,100KB/s to 1MB/s,17,8692784,644,YES,839,YES,1,4.15,0.500287319,NO,Correctly Identified as Clean
456,1619,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,67,2728040,496,YES,220,NO,1,4.72,0.818673341,NO,Correctly Identified as Clean
457,1620,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,469,17150458,579,NO,2135,NO,1,3.92,-0.311093861,YES,Correctly Identified as Malware
470,1651,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,339,3165721,607,YES,258,NO,1,4.56,0.263862238,NO,Incorrectly Identified as Malware
471,1654,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,112,13101047,740,NO,1444,NO,1,5.2,-1.766832807,YES,Incorrectly Identified as Clean
472,1657,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,480,830055,567,NO,63,YES,1,5.68,-0.721751621,YES,Correctly Identified as Malware
475,1662,Well Known Software Download Websites,.net,100KB/s to 1MB/s,596,16223117,716,YES,1964,YES,1,4.64,1.775578684,NO,Correctly Identified as Clean
477,1670,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,76,4760795,705,YES,408,NO,1,5.68,-0.376683098,YES,Incorrectly Identified as Clean
484,1686,Well Known Software Download Websites,.com,100KB/s to 1MB/s,238,1687626,594,NO,132,YES,1,4.33,-0.916517024,NO,Correctly Identified as Clean
486,1695,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,319,1022725,363,YES,78,YES,1,4.47,0.35312061,YES,Correctly Identified as Malware
487,1706,Git Repository,.net,100KB/s to 1MB/s,42,10779105,680,YES,1108,NO,1,5.3,-0.42200067,YES,Correctly Identified as Malware
489,1713,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,55,19271577,458,NO,2557,NO,1,5.59,-0.469493279,NO,Correctly Identified as Clean
492,1723,Git Repository,.com,1MB/s to 10MB/s,57,10131512,507,NO,1021,NO,1,4.49,1.693283716,YES,Incorrectly Identified as Clean
493,1724,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,236,999855,591,YES,76,YES,1,4.43,1.05608979,YES,Incorrectly Identified as Clean
495,1728,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,189,11112716,611,NO,1154,NO,1,4.83,-0.863676256,NO,Incorrectly Identified as Malware
498,1743,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,486,25606090,688,YES,4111,NO,1,4.87,0.394581986,NO,Correctly Identified as Clean
503,1765,Well Known Software Download Websites,.com,100KB/s to 1MB/s,251,22618281,507,YES,3319,NO,1,5,-0.201141597,NO,Correctly Identified as Clean
506,1775,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,211,3477861,614,YES,287,YES,1,5.22,1.190451735,NO,Correctly Identified as Clean
511,1790,Well Known Software Download Websites,.com,1MB/s to 10MB/s,373,26176257,350,YES,4275,YES,1,5.08,-1.75155611,YES,Correctly Identified as Malware
517,1814,Git Repository,.com,1MB/s to 10MB/s,188,10766229,525,YES,1106,YES,1,4.93,0.70115163,YES,Correctly Identified as Malware
520,1825,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,352,7473170,726,YES,695,NO,1,5.47,0.152710658,YES,Incorrectly Identified as Clean
521,1826,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,79,2611462,617,NO,210,YES,1,4.31,0.374661725,NO,Correctly Identified as Clean
524,1831,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,262,5283346,592,NO,460,NO,1,5.21,-0.177985314,NO,Correctly Identified as Clean
525,1832,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,333,5573857,688,NO,490,YES,1,4.55,-1.060412428,NO,Correctly Identified as Clean
528,1844,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,201,9416142,540,YES,929,YES,1,5.15,-0.018199298,NO,Correctly Identified as Clean
529,1849,Wordpress Powered Web Site,.net.au,100KB/s to 1MB/s,258,4104756,559,NO,345,YES,1,5.74,1.088852972,YES,Correctly Identified as Malware
533,1872,Well Known Software Download Websites,.com,1MB/s to 10MB/s,91,18636896,757,YES,2426,NO,1,4.8,-1.254037108,NO,Correctly Identified as Clean
552,1926,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,724,25106027,710,NO,3970,YES,1,5.34,0.159393979,YES,Correctly Identified as Malware
558,1938,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,90,7135368,542,NO,657,YES,1,4.72,0.435710607,NO,Correctly Identified as Clean
559,1942,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,475,13560465,583,NO,1516,YES,1,5.1,-1.570143244,YES,Correctly Identified as Malware
561,1961,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,425,10446234,702,YES,1063,NO,1,5.1,1.09124263,YES,Incorrectly Identified as Clean
569,1993,Well Known Software Download Websites,.com,100KB/s to 1MB/s,347,20023021,424,YES,2718,NO,1,4.91,-0.182414237,NO,Incorrectly Identified as Malware
570,1996,Well Known Software Download Websites,.com,100KB/s to 1MB/s,145,10032053,691,YES,1008,YES,1,4.36,-0.285111496,NO,Correctly Identified as Clean
576,2010,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,173,11878057,452,NO,1262,NO,1,5.62,-0.028196389,NO,Correctly Identified as Clean
587,2055,Well Known Software Download Websites,.net,1MB/s to 10MB/s,344,11950893,422,NO,1273,YES,1,4.16,0.826123071,YES,Correctly Identified as Malware
588,2057,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,54,3132466,600,NO,256,YES,1,4.14,2.13071514,NO,Correctly Identified as Clean
589,2058,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,714,12095076,686,YES,1294,NO,1,5.31,-0.204351404,YES,Incorrectly Identified as Clean
594,2073,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,71,8127258,477,YES,771,YES,1,5.25,-1.634519931,YES,Correctly Identified as Malware
596,2075,Git Repository,.net,100KB/s to 1MB/s,760,10450750,581,NO,1064,NO,1,4.82,-0.279897234,NO,Correctly Identified as Clean
600,2094,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,39,12207344,600,YES,1310,YES,1,5.18,0.498313518,NO,Correctly Identified as Clean
606,2108,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,469,15990920,584,YES,1923,YES,1,4.8,-0.675534612,NO,Correctly Identified as Clean
607,2110,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,370,10042922,420,NO,1010,YES,1,4.76,0.905864214,NO,Correctly Identified as Clean
608,2113,Well Known Software Download Websites,.net,100KB/s to 1MB/s,63,1580298,493,YES,123,NO,1,5.29,0.238218093,NO,Correctly Identified as Clean
